respID,qID,profileID,altID,obsID,choice,time_sec_p1,ownhome,oftencook,time_sec_p2,time_sec_p3,induction,inductionOther,heatingeff,heatingeffOther,carbon,carbonOther,yearOfBirth,feedback,time_min_total,Cooktop_Type,final_cost_price,Average_annual_usage_Cost,Indoor_air_Quality,number_of_burners
2,7,113,2,15,1,28,NA,NA,72,22,No,NA,Concerned,NA,Concerned,NA,1998,NA,2.033333333333333,Electric,800,6,5,4
2,7,111,3,15,0,28,NA,NA,72,22,No,NA,Concerned,NA,Concerned,NA,1998,NA,2.033333333333333,Induction,500,6,5,4
2,8,229,1,16,0,28,NA,NA,72,22,No,NA,Concerned,NA,Concerned,NA,1998,NA,2.033333333333333,Gas,800,7,10,5
2,8,158,2,16,1,28,NA,NA,72,22,No,NA,Concerned,NA,Concerned,NA,1998,NA,2.033333333333333,Electric,800,8,10,4
2,8,198,3,16,0,28,NA,NA,72,22,No,NA,Concerned,NA,Concerned,NA,1998,NA,2.033333333333333,Induction,1500,6,5,5
3,1,187,1,17,0,33,NA,NA,72,26,Yes,NA,Neutral,NA,Neutral,NA,1992,hello,2.183333333333333,Gas,1500,8,0,5
3,1,104,2,17,0,33,NA,NA,72,26,Yes,NA,Neutral,NA,Neutral,NA,1992,hello,2.183333333333333,Electric,800,8,0,4
3,1,27,3,17,1,33,NA,NA,72,26,Yes,NA,Neutral,NA,Neutral,NA,1992,hello,2.183333333333333,Induction,1500,8,0,3
3,2,52,1,18,0,33,NA,NA,72,26,Yes,NA,Neutral,NA,Neutral,NA,1992,hello,2.183333333333333,Gas,1500,8,5,3
3,2,164,2,18,1,33,NA,NA,72,26,Yes,NA,Neutral,NA,Neutral,NA,1992,hello,2.183333333333333,Electric,500,6,0,5
3,2,159,3,18,0,33,NA,NA,72,26,Yes,NA,Neutral,NA,Neutral,NA,1992,hello,2.183333333333333,Induction,800,8,10,4
3,3,22,1,19,0,33,NA,NA,72,26,Yes,NA,Neutral,NA,Neutral,NA,1992,hello,2.183333333333333,Gas,800,8,0,3
3,3,5,2,19,1,33,NA,NA,72,26,Yes,NA,Neutral,NA,Neutral,NA,1992,hello,2.183333333333333,Electric,800,6,0,3
3,3,150,3,19,0,33,NA,NA,72,26,Yes,NA,Neutral,NA,Neutral,NA,1992,hello,2.183333333333333,Induction,800,7,10,4
3,4,76,1,20,0,33,NA,NA,72,26,Yes,NA,Neutral,NA,Neutral,NA,1992,hello,2.183333333333333,Gas,800,8,10,3
3,4,59,2,20,0,33,NA,NA,72,26,Yes,NA,Neutral,NA,Neutral,NA,1992,hello,2.183333333333333,Electric,800,6,10,3
3,4,114,3,20,1,33,NA,NA,72,26,Yes,NA,Neutral,NA,Neutral,NA,1992,hello,2.183333333333333,Induction,800,6,5,4
3,5,64,1,21,0,33,NA,NA,72,26,Yes,NA,Neutral,NA,Neutral,NA,1992,hello,2.183333333333333,Gas,500,7,10,3
